floor_area_sqm,floor,building_age,distance_to_mrt_km,price_sgd,annual_footfall
117.5,29,26,1.77,891058.0,711194.0
44.6,19,31,0.59,394793.0,1220176.0
74.8,16,3,2.98,614392.0,733917.0
86.3,9,28,3.41,515195.0,559958.0
124.1,10,20,1.0,757438.0,1027646.0
77.4,3,26,3.49,469737.0,825060.0
91.0,15,9,1.5,678096.0,874241.0
145.3,11,26,2.85,856050.0,798998.0
79.8,17,37,2.48,497798.0,680749.0
108.5,10,35,2.3,618176.0,932735.0
114.8,15,1,2.75,887469.0,1057936.0
94.2,18,15,0.84,763087.0,617852.0
95.7,9,16,2.37,631323.0,915205.0
59.5,6,5,2.75,425147.0,1220442.0
94.6,11,24,3.43,603675.0,844051.0
110.9,8,9,1.11,792568.0,651581.0
55.8,17,12,1.84,533246.0,348587.0
42.0,18,11,0.51,408262.0,890262.0
98.1,26,7,0.32,737688.0,985676.0
103.4,3,19,1.4,636420.0,887618.0
78.2,22,29,2.42,572743.0,976269.0
90.7,17,18,1.98,653758.0,737644.0
55.7,5,15,0.86,366795.0,814279.0
105.1,27,35,3.37,778961.0,796084.0
51.9,7,24,0.37,420117.0,807096.0
97.5,27,5,0.89,825855.0,849302.0
93.2,12,19,0.75,611914.0,502971.0
91.7,20,21,2.19,663791.0,1179120.0
125.6,11,39,2.19,745466.0,640191.0
114.0,7,11,2.57,766057.0,719221.0
115.7,16,2,2.44,839853.0,899422.0
106.5,18,29,1.61,692611.0,673188.0
112.0,21,3,2.69,816862.0,641270.0
70.8,18,22,2.59,514131.0,1011500.0
120.0,28,19,2.74,844201.0,1165276.0
73.1,29,8,1.07,657328.0,1111001.0
77.4,7,23,2.48,526453.0,640393.0
58.7,28,4,2.06,602099.0,678767.0
97.8,14,25,2.08,642063.0,920130.0
142.6,29,0,2.15,1071687.0,1089495.0
115.8,3,33,1.57,642547.0,1011575.0
66.0,11,14,3.28,501019.0,953019.0
129.4,19,6,2.58,870215.0,579734.0
106.9,6,18,0.94,644261.0,1341724.0
118.9,19,19,1.33,840453.0,901014.0
114.8,24,9,2.72,835711.0,730411.0
80.4,24,23,2.6,657388.0,832041.0
124.2,20,9,1.42,893712.0,834209.0
116.7,14,9,2.84,780824.0,1100251.0
103.1,20,25,3.49,700451.0,1127251.0
84.0,16,13,2.46,709146.0,1166199.0
69.4,8,6,1.06,475331.0,889538.0
117.8,26,13,0.17,901916.0,1081623.0
107.3,11,22,1.33,657569.0,640195.0
125.0,25,9,3.49,1006415.0,695395.0
93.2,21,37,1.27,655973.0,853237.0
110.4,21,19,3.44,763736.0,890122.0
68.7,23,39,3.09,522356.0,726524.0
96.6,11,34,2.93,550601.0,818311.0
144.5,8,36,0.54,837098.0,942075.0
76.1,28,8,2.4,655202.0,616924.0
91.0,26,17,2.59,689823.0,1030116.0
107.5,17,21,3.28,737020.0,759348.0
90.5,14,25,2.68,581175.0,807441.0
94.1,25,16,0.75,723010.0,1340548.0
91.0,6,1,0.37,637829.0,1023670.0
41.2,26,12,2.88,453324.0,971122.0
78.4,29,39,2.1,644583.0,1004332.0
91.6,20,36,2.67,628586.0,810605.0
113.5,23,30,0.33,807802.0,1041030.0
96.3,8,29,0.83,615146.0,839612.0
97.9,27,5,2.33,827749.0,1028153.0
108.7,15,13,3.24,734310.0,1190034.0
128.9,12,6,0.87,886195.0,590232.0
81.1,5,33,2.9,466136.0,773622.0
81.6,5,9,3.39,565849.0,1005454.0
88.3,10,28,3.23,520826.0,474214.0
79.6,6,26,1.63,541802.0,845822.0
102.3,17,14,2.72,745521.0,919245.0
70.8,29,14,0.64,664976.0,757995.0
82.3,11,12,2.57,542742.0,1034105.0
60.1,20,14,1.29,471762.0,515871.0
92.9,26,2,2.41,817397.0,731227.0
86.7,23,39,1.41,649100.0,607204.0
75.1,19,0,1.78,655927.0,1029782.0
92.5,23,8,1.72,801490.0,761928.0
111.4,12,24,0.85,693227.0,516099.0
121.7,14,6,3.27,757311.0,826569.0
125.7,3,24,1.52,699601.0,717548.0
72.4,6,0,0.68,542860.0,665821.0
90.8,22,8,3.14,666124.0,708015.0
104.6,12,8,2.01,758708.0,1390374.0
106.6,21,8,0.72,774155.0,861302.0
86.5,5,20,1.09,583279.0,1007895.0
98.7,10,35,2.88,544311.0,814574.0
92.9,19,10,0.11,692919.0,878338.0
104.8,14,26,2.59,744307.0,826936.0
104.2,27,1,3.1,891811.0,511167.0
86.7,24,39,0.21,624165.0,797541.0
51.7,14,9,3.28,536962.0,1280101.0
36.4,20,17,2.67,333788.0,596173.0
111.3,7,39,0.49,638254.0,772810.0
77.6,22,21,1.92,619595.0,471546.0
86.1,11,0,2.17,645891.0,908917.0
141.5,29,12,0.3,1027927.0,1089030.0
89.1,9,31,0.34,524745.0,704691.0
88.6,20,38,1.54,619708.0,928252.0
65.7,18,1,1.94,569893.0,922046.0
88.1,13,24,1.06,533323.0,960749.0
90.8,27,22,2.11,658854.0,857870.0
81.9,12,38,2.64,577098.0,732265.0
117.4,22,31,2.94,789533.0,903296.0
83.3,3,4,0.9,528125.0,980976.0
75.1,20,2,2.59,623832.0,598918.0
108.2,16,34,1.88,706040.0,1085730.0
60.6,27,19,0.83,553151.0,852587.0
112.7,22,25,2.65,851656.0,883048.0
87.6,13,37,1.64,592467.0,1040898.0
78.1,13,9,1.33,576352.0,753912.0
83.7,21,22,1.08,619911.0,969962.0
76.0,18,31,2.37,535353.0,608709.0
120.7,19,2,1.25,876268.0,935833.0
95.2,12,4,1.49,791911.0,729009.0
103.9,9,0,3.07,767155.0,629759.0
124.6,20,22,1.24,836232.0,883960.0
75.6,3,29,3.41,427211.0,1020641.0
116.8,25,32,1.41,850496.0,786754.0
88.7,19,6,1.4,675640.0,1012072.0
84.5,29,26,3.15,660351.0,1358567.0
109.4,18,25,0.21,740470.0,688235.0
117.9,10,3,0.74,820650.0,627081.0
85.1,13,24,1.06,606810.0,1186890.0
154.7,17,15,0.46,1017998.0,570334.0
74.8,10,2,2.13,607948.0,1151701.0
123.7,6,30,1.54,751522.0,926661.0
71.9,27,33,3.1,606957.0,640635.0
85.6,26,20,1.32,768017.0,531032.0
74.4,10,17,0.5,477587.0,879906.0
53.0,7,37,1.2,329657.0,1003333.0
112.1,25,6,0.78,836665.0,805470.0
86.0,25,20,0.77,671634.0,385397.0
40.2,26,11,2.56,480194.0,775163.0
126.9,3,29,1.23,643125.0,925453.0
87.5,9,31,2.94,499153.0,643122.0
94.6,21,28,0.42,666085.0,603563.0
116.0,21,17,0.7,769619.0,1099855.0
69.7,13,8,1.69,524088.0,821570.0
86.7,3,11,1.47,530429.0,732654.0
117.7,18,14,2.38,839413.0,803000.0
84.1,19,9,0.19,684895.0,1137269.0
88.6,22,38,1.41,613676.0,865607.0
82.0,3,32,0.3,431112.0,810935.0
83.3,29,10,2.39,717495.0,780195.0
84.8,11,9,0.71,587499.0,984492.0
134.7,24,36,2.51,883863.0,813117.0
115.7,7,19,3.13,743322.0,835599.0
116.6,13,30,1.09,731422.0,784570.0
125.8,13,16,0.54,781203.0,510748.0
77.4,12,33,0.85,434797.0,714970.0
108.3,17,9,0.59,819352.0,531646.0
70.6,11,22,3.18,508146.0,722327.0
113.5,19,26,0.81,781119.0,560154.0
68.7,19,32,2.79,504647.0,885234.0
91.8,10,35,1.23,576358.0,911128.0
104.7,28,30,2.26,758612.0,1026175.0
86.6,24,21,2.02,611696.0,895900.0
117.8,22,31,1.48,774986.0,960108.0
96.8,29,18,2.44,738709.0,951566.0
111.4,29,12,2.89,882878.0,1181482.0
67.9,24,10,2.36,558045.0,681789.0
136.3,9,34,2.42,815038.0,914891.0
86.0,9,27,1.06,561252.0,794160.0
130.5,28,12,1.67,972644.0,1024361.0
67.0,26,34,1.61,555984.0,737953.0
114.8,4,0,2.86,750130.0,975189.0
84.9,15,14,2.0,660345.0,771912.0
