tenure_months,monthly_charge,support_tickets,late_payments,contract,churned
55,97.01,2,1,Annual,yes
42,72.38,2,0,Monthly,no
25,50.37,0,1,Monthly,no
26,53.69,2,0,Monthly,no
10,90.87,4,1,Monthly,yes
27,97.04,1,1,Annual,yes
50,77.18,1,0,Annual,no
21,100.19,2,2,Monthly,yes
1,118.25,0,0,Annual,yes
19,100.42,6,1,Annual,yes
23,89.46,1,1,Monthly,yes
72,73.17,1,1,Monthly,no
5,83.64,1,1,Annual,no
52,76.24,0,1,Monthly,yes
4,68.54,2,1,Annual,yes
62,77.22,0,2,Annual,no
26,122.29,4,1,Annual,yes
5,94.16,2,0,Monthly,yes
59,31.78,4,1,Monthly,no
70,51.5,2,1,Monthly,no
64,49.13,2,2,Annual,no
69,59.84,1,2,Monthly,no
29,20.0,2,3,Annual,no
38,125.37,2,0,Monthly,yes
11,76.67,1,1,Annual,no
68,155.13,0,1,Monthly,yes
19,101.11,3,4,Monthly,yes
39,78.6,3,3,Monthly,no
19,94.7,2,0,Annual,yes
64,97.15,1,1,Monthly,no
40,56.79,1,0,Monthly,yes
1,99.5,1,1,Monthly,yes
29,104.38,5,2,Monthly,yes
17,59.06,1,0,Monthly,yes
40,99.74,4,0,Monthly,yes
21,108.62,1,0,Monthly,yes
34,32.94,2,3,Annual,yes
7,64.67,2,1,Monthly,yes
26,96.05,4,1,Annual,no
3,88.76,0,0,Monthly,yes
23,83.56,3,1,Monthly,yes
32,66.66,4,0,Annual,no
62,66.27,1,1,Annual,no
60,97.85,2,0,Monthly,yes
27,70.87,0,0,Annual,no
72,79.11,0,3,Annual,no
58,88.26,1,3,Annual,no
61,32.79,3,2,Monthly,no
70,95.12,2,0,Monthly,no
3,131.94,1,0,Monthly,yes
20,113.46,0,2,Monthly,yes
54,118.58,2,3,Annual,no
70,135.81,1,2,Monthly,no
15,50.62,2,0,Monthly,no
35,97.47,4,2,Annual,no
32,98.74,3,2,Annual,yes
67,99.4,0,2,Monthly,no
38,58.86,0,0,Annual,no
19,84.17,2,1,Monthly,yes
19,79.31,2,2,Monthly,yes
62,93.11,2,1,Annual,no
27,124.68,0,4,Monthly,yes
70,72.59,1,1,Monthly,no
45,77.5,0,1,Annual,yes
38,94.23,1,1,Annual,no
